"camera","readingIndex","clip","sampleIndex","timeSec","latitude","longitude","speedMps","fix"
"garmin",1,"GRMN0213.MP4",33,0,40.8110815,-96.6894486,0,1
"gopro",1,"GX010003.MP4",3082,0,40.811177,-96.6894718,0.022,1
"redtiger",1,"20260713052715_000198F.MP4",45,0,40.811145,-96.6894857,0,1
"rove",1,"REC20260713-052715-187.mp4",45,0,40.8111357,-96.6894297,0,1
"gopro",2,"GX010003.MP4",3083,0.0999999046325684,40.8111769,-96.6894718,0.016,1
"gopro",3,"GX010003.MP4",3084,0.200000047683716,40.8111767,-96.6894718,0.038,1
"gopro",4,"GX010003.MP4",3085,0.299999952316284,40.8111766,-96.6894719,0.092,1
"gopro",5,"GX010003.MP4",3086,0.400000095367432,40.8111765,-96.6894718,0.071,1
"gopro",6,"GX010003.MP4",3087,0.5,40.8111764,-96.6894717,0.055,1
"gopro",7,"GX010003.MP4",3088,0.599999904632568,40.8111763,-96.6894716,0.006,1
"gopro",8,"GX010003.MP4",3089,0.700000047683716,40.8111762,-96.6894715,0.031,1
"gopro",9,"GX010003.MP4",3090,0.799999952316284,40.8111762,-96.6894714,0.042,1
"gopro",10,"GX010003.MP4",3091,0.900000095367432,40.811176,-96.6894714,0.089,1
"garmin",2,"GRMN0213.MP4",34,1,40.8110815,-96.6894486,0,1
"gopro",11,"GX010003.MP4",3092,1,40.8111759,-96.6894713,0.034,1
"redtiger",2,"20260713052715_000198F.MP4",46,1,40.811145,-96.6894694,0,1
"rove",2,"REC20260713-052715-187.mp4",46,1,40.8111357,-96.6894297,0,1
"gopro",12,"GX010003.MP4",3093,1.09999990463257,40.8111758,-96.6894713,0.048,1
"gopro",13,"GX010003.MP4",3094,1.20000004768372,40.8111758,-96.6894712,0.069,1
"gopro",14,"GX010003.MP4",3095,1.29999995231628,40.8111757,-96.6894711,0.069,1
"gopro",15,"GX010003.MP4",3096,1.40000009536743,40.8111756,-96.6894712,0.093,1
"gopro",16,"GX010003.MP4",3097,1.5,40.8111754,-96.6894711,0.042,1
"gopro",17,"GX010003.MP4",3098,1.59999990463257,40.8111753,-96.6894711,0.005,1
"gopro",18,"GX010003.MP4",3099,1.70000004768372,40.8111753,-96.6894711,0.035,1
"gopro",19,"GX010003.MP4",3100,1.79999995231628,40.8111751,-96.689471,0.013,1
"gopro",20,"GX010003.MP4",3101,1.90000009536743,40.8111751,-96.689471,0.065,1
"garmin",3,"GRMN0213.MP4",35,2,40.8110815,-96.6894486,0,1
"gopro",21,"GX010003.MP4",3102,2,40.8111749,-96.689471,0.054,1
"redtiger",3,"20260713052715_000198F.MP4",47,2,40.811145,-96.6894694,0,1
"rove",3,"REC20260713-052715-187.mp4",47,2,40.8111357,-96.6894297,0,1
"gopro",22,"GX010003.MP4",3103,2.09999990463257,40.8111747,-96.689471,0.053,1
"gopro",23,"GX010003.MP4",3104,2.20000004768372,40.8111745,-96.689471,0.108,1
"gopro",24,"GX010003.MP4",3105,2.29999995231628,40.8111744,-96.689471,0.025,1
"gopro",25,"GX010003.MP4",3106,2.40000009536743,40.8111742,-96.689471,0.047,1
"gopro",26,"GX010003.MP4",3107,2.5,40.811174,-96.6894711,0.065,1
"gopro",27,"GX010003.MP4",3108,2.59999990463257,40.8111737,-96.6894711,0.036,1
"gopro",28,"GX010003.MP4",3109,2.70000004768372,40.8111736,-96.6894711,0.093,1
"gopro",29,"GX010003.MP4",3110,2.79999995231628,40.8111734,-96.6894712,0.075,1
"gopro",30,"GX010003.MP4",3111,2.90000009536743,40.811173,-96.6894712,0.165,1
"garmin",4,"GRMN0213.MP4",36,3,40.8110815,-96.6894486,0,1
"gopro",31,"GX010003.MP4",3112,3,40.8111728,-96.6894713,0.057,1
"redtiger",4,"20260713052715_000198F.MP4",48,3,40.811145,-96.6894694,0,1
"rove",4,"REC20260713-052715-187.mp4",48,3,40.8111357,-96.6894298,0,1
"gopro",32,"GX010003.MP4",3113,3.09999990463257,40.8111727,-96.6894713,0.142,1
"gopro",33,"GX010003.MP4",3114,3.20000004768372,40.8111725,-96.6894714,0.047,1
"gopro",34,"GX010003.MP4",3115,3.29999995231628,40.8111722,-96.6894715,0.062,1
"gopro",35,"GX010003.MP4",3116,3.40000009536743,40.811172,-96.6894715,0.044,1
"gopro",36,"GX010003.MP4",3117,3.5,40.8111719,-96.6894717,0.109,1
"gopro",37,"GX010003.MP4",3118,3.59999990463257,40.8111716,-96.6894718,0.084,1
"gopro",38,"GX010003.MP4",3119,3.70000004768372,40.8111713,-96.689472,0.069,1
"gopro",39,"GX010003.MP4",3120,3.79999995231628,40.8111712,-96.6894719,0.16,1
"gopro",40,"GX010003.MP4",3121,3.90000009536743,40.8111709,-96.6894721,0.053,1
"garmin",5,"GRMN0213.MP4",37,4,40.8110815,-96.6894486,0,1
"gopro",41,"GX010003.MP4",3122,4,40.8111707,-96.6894722,0.042,1
"redtiger",5,"20260713052715_000198F.MP4",49,4,40.8111532,-96.6894694,0,1
"rove",5,"REC20260713-052715-187.mp4",49,4,40.8111357,-96.6894298,0,1
"gopro",42,"GX010003.MP4",3123,4.09999990463257,40.8111704,-96.6894724,0.106,1
"gopro",43,"GX010003.MP4",3124,4.20000004768372,40.8111703,-96.6894725,0.054,1
"gopro",44,"GX010003.MP4",3125,4.29999995231628,40.8111702,-96.6894725,0.111,1
"gopro",45,"GX010003.MP4",3126,4.40000009536743,40.8111699,-96.6894726,0.069,1
"gopro",46,"GX010003.MP4",3127,4.5,40.8111697,-96.6894726,0.019,1
"gopro",47,"GX010003.MP4",3128,4.59999990463257,40.8111695,-96.6894727,0.086,1
"gopro",48,"GX010003.MP4",3129,4.70000004768372,40.8111693,-96.6894728,0.031,1
"gopro",49,"GX010003.MP4",3130,4.79999995231628,40.8111692,-96.6894728,0.067,1
"gopro",50,"GX010003.MP4",3131,4.90000009536743,40.8111691,-96.6894728,0.057,1
"garmin",6,"GRMN0213.MP4",38,5,40.8110815,-96.6894486,0,1
"gopro",51,"GX010003.MP4",3132,5,40.8111687,-96.6894729,0.172,1
"redtiger",6,"20260713052715_000198F.MP4",50,5,40.8111532,-96.6894694,0,1
"rove",6,"REC20260713-052715-187.mp4",50,5,40.8111355,-96.68943,0,1
"gopro",52,"GX010003.MP4",3133,5.09999990463257,40.8111686,-96.6894729,0.085,1
"gopro",53,"GX010003.MP4",3134,5.20000004768372,40.8111685,-96.6894729,0.063,1
"gopro",54,"GX010003.MP4",3135,5.29999995231628,40.8111682,-96.689473,0.035,1
"gopro",55,"GX010003.MP4",3136,5.40000009536743,40.811168,-96.689473,0.037,1
"gopro",56,"GX010003.MP4",3137,5.5,40.8111678,-96.689473,0.043,1
"gopro",57,"GX010003.MP4",3138,5.59999990463257,40.8111676,-96.689473,0.047,1
"gopro",58,"GX010003.MP4",3139,5.70000004768372,40.8111675,-96.689473,0.06,1
"gopro",59,"GX010003.MP4",3140,5.79999995231628,40.8111672,-96.689473,0.083,1
"gopro",60,"GX010003.MP4",3141,5.90000009536743,40.811167,-96.6894729,0.017,1
"garmin",7,"GRMN0213.MP4",39,6,40.8110815,-96.6894486,0,1
"gopro",61,"GX010003.MP4",3142,6,40.8111668,-96.6894729,0.047,1
"redtiger",7,"20260713052715_000198F.MP4",51,6,40.8111532,-96.6894694,0,1
"rove",7,"REC20260713-052715-187.mp4",51,6,40.8111355,-96.68943,0,1
"gopro",62,"GX010003.MP4",3143,6.09999990463257,40.8111668,-96.6894728,0.043,1
"gopro",63,"GX010003.MP4",3144,6.20000004768372,40.8111666,-96.6894727,0.051,1
"gopro",64,"GX010003.MP4",3145,6.29999995231628,40.8111664,-96.6894727,0.056,1
"gopro",65,"GX010003.MP4",3146,6.40000009536743,40.8111662,-96.6894725,0.058,1
"gopro",66,"GX010003.MP4",3147,6.5,40.8111661,-96.6894724,0.057,1
"gopro",67,"GX010003.MP4",3148,6.59999990463257,40.8111659,-96.6894723,0.028,1
"gopro",68,"GX010003.MP4",3149,6.70000004768372,40.8111658,-96.6894723,0.056,1
"gopro",69,"GX010003.MP4",3150,6.79999995231628,40.8111656,-96.6894722,0.06,1
"gopro",70,"GX010003.MP4",3151,6.90000009536743,40.8111654,-96.6894721,0.051,1
"garmin",8,"GRMN0213.MP4",40,7,40.8110815,-96.6894486,0,1
"gopro",71,"GX010003.MP4",3152,7,40.8111653,-96.6894721,0.018,1
"redtiger",8,"20260713052715_000198F.MP4",52,7,40.8111532,-96.6894694,0,1
"rove",8,"REC20260713-052715-187.mp4",52,7,40.8111355,-96.6894298,0,1
"gopro",72,"GX010003.MP4",3153,7.09999990463257,40.8111651,-96.689472,0.043,1
"gopro",73,"GX010003.MP4",3154,7.20000004768372,40.8111649,-96.689472,0.059,1
"gopro",74,"GX010003.MP4",3155,7.29999995231628,40.8111648,-96.689472,0.038,1
"gopro",75,"GX010003.MP4",3156,7.40000009536743,40.8111646,-96.6894719,0.029,1
"gopro",76,"GX010003.MP4",3157,7.5,40.8111645,-96.6894719,0.021,1
"gopro",77,"GX010003.MP4",3158,7.59999990463257,40.8111643,-96.6894719,0.039,1
"gopro",78,"GX010003.MP4",3159,7.70000004768372,40.8111643,-96.6894719,0.041,1
"gopro",79,"GX010003.MP4",3160,7.79999995231628,40.8111641,-96.6894719,0.072,1
"gopro",80,"GX010003.MP4",3161,7.90000009536743,40.811164,-96.6894718,0.036,1
"garmin",9,"GRMN0213.MP4",41,8,40.8110815,-96.6894486,0,1
"gopro",81,"GX010003.MP4",3162,8,40.8111639,-96.6894718,0.021,1
"redtiger",9,"20260713052715_000198F.MP4",53,8,40.8111532,-96.6894694,0,1
"rove",9,"REC20260713-052715-187.mp4",53,8,40.8111355,-96.68943,0,1
"gopro",82,"GX010003.MP4",3163,8.09999990463257,40.8111637,-96.6894718,0.007,1
"gopro",83,"GX010003.MP4",3164,8.20000004768372,40.8111634,-96.6894716,0.087,1
"gopro",84,"GX010003.MP4",3165,8.29999995231628,40.8111634,-96.6894716,0.071,1
"gopro",85,"GX010003.MP4",3166,8.40000009536743,40.8111631,-96.6894715,0.07,1
"gopro",86,"GX010003.MP4",3167,8.5,40.8111631,-96.6894715,0.031,1
"gopro",87,"GX010003.MP4",3168,8.59999990463257,40.8111629,-96.6894714,0.04,1
"gopro",88,"GX010003.MP4",3169,8.70000004768372,40.8111628,-96.6894714,0.102,1
"gopro",89,"GX010003.MP4",3170,8.79999995231628,40.8111626,-96.6894712,0.076,1
"gopro",90,"GX010003.MP4",3171,8.90000009536743,40.8111624,-96.6894712,0.012,1
"garmin",10,"GRMN0213.MP4",42,9,40.8110815,-96.6894486,0,1
"gopro",91,"GX010003.MP4",3172,9,40.8111622,-96.6894712,0.089,1
"redtiger",10,"20260713052715_000198F.MP4",54,9,40.8111532,-96.6894694,0,1
"rove",10,"REC20260713-052715-187.mp4",54,9,40.8111353,-96.68943,0,1
"gopro",92,"GX010003.MP4",3173,9.09999990463257,40.811162,-96.6894711,0.019,1
"gopro",93,"GX010003.MP4",3174,9.20000004768372,40.8111618,-96.689471,0.056,1
"gopro",94,"GX010003.MP4",3175,9.29999995231628,40.8111617,-96.689471,0.077,1
"gopro",95,"GX010003.MP4",3176,9.40000009536743,40.8111614,-96.6894709,0.072,1
"gopro",96,"GX010003.MP4",3177,9.5,40.8111612,-96.6894708,0.027,1
"gopro",97,"GX010003.MP4",3178,9.59999990463257,40.8111612,-96.6894708,0.055,1
"gopro",98,"GX010003.MP4",3179,9.70000004768372,40.811161,-96.6894706,0.026,1
"gopro",99,"GX010003.MP4",3180,9.79999995231628,40.8111608,-96.6894705,0.018,1
"gopro",100,"GX010003.MP4",3181,9.90000009536743,40.8111607,-96.6894706,0.047,1
"garmin",11,"GRMN0213.MP4",43,10,40.8110815,-96.6894486,0,1
"gopro",101,"GX010003.MP4",3182,10,40.8111605,-96.6894704,0.037,1
"redtiger",11,"20260713052715_000198F.MP4",55,10,40.8111532,-96.6894694,0,1
"rove",11,"REC20260713-052715-187.mp4",55,10,40.8111355,-96.6894298,0,1
"gopro",102,"GX010003.MP4",3183,10.0999999046326,40.8111603,-96.6894703,0.078,1
"gopro",103,"GX010003.MP4",3184,10.2000000476837,40.8111602,-96.6894703,0.093,1
"gopro",104,"GX010003.MP4",3185,10.2999999523163,40.81116,-96.6894703,0.033,1
"gopro",105,"GX010003.MP4",3186,10.4000000953674,40.8111598,-96.6894702,0.058,1
"gopro",106,"GX010003.MP4",3187,10.5,40.8111597,-96.6894702,0.034,1
"gopro",107,"GX010003.MP4",3188,10.5999999046326,40.8111594,-96.6894701,0.047,1
"gopro",108,"GX010003.MP4",3189,10.7000000476837,40.8111593,-96.68947,0.084,1
"gopro",109,"GX010003.MP4",3190,10.7999999523163,40.8111591,-96.68947,0.076,1
"gopro",110,"GX010003.MP4",3191,10.9000000953674,40.811159,-96.6894699,0.027,1
"garmin",12,"GRMN0213.MP4",44,11,40.8110815,-96.6894486,0,1
"gopro",111,"GX010003.MP4",3192,11,40.8111588,-96.6894698,0.076,1
"redtiger",12,"20260713052715_000198F.MP4",56,11,40.8111532,-96.6894694,0,1
"rove",12,"REC20260713-052715-187.mp4",56,11,40.8111355,-96.6894298,0,1
"gopro",112,"GX010003.MP4",3193,11.0999999046326,40.8111586,-96.6894698,0.052,1
"gopro",113,"GX010003.MP4",3194,11.2000000476837,40.8111585,-96.6894697,0.073,1
"gopro",114,"GX010003.MP4",3195,11.2999999523163,40.8111584,-96.6894697,0.022,1
"gopro",115,"GX010003.MP4",3196,11.4000000953674,40.8111582,-96.6894697,0.073,1
"gopro",116,"GX010003.MP4",3197,11.5,40.8111579,-96.6894698,0.069,1
"gopro",117,"GX010003.MP4",3198,11.5999999046326,40.8111579,-96.6894697,0.096,1
"gopro",118,"GX010003.MP4",3199,11.7000000476837,40.8111577,-96.6894698,0.036,1
"gopro",119,"GX010003.MP4",3200,11.7999999523163,40.8111576,-96.6894698,0.022,1
"gopro",120,"GX010003.MP4",3201,11.9000000953674,40.8111574,-96.6894699,0.027,1
"garmin",13,"GRMN0213.MP4",45,12,40.8110815,-96.6894486,0,1
"gopro",121,"GX010003.MP4",3202,12,40.8111573,-96.6894699,0.008,1
"redtiger",13,"20260713052715_000198F.MP4",57,12,40.8111491,-96.6894694,0,1
"rove",13,"REC20260713-052715-187.mp4",57,12,40.8111355,-96.6894298,0,1
"gopro",122,"GX010003.MP4",3203,12.0999999046326,40.8111571,-96.6894699,0.022,1
"gopro",123,"GX010003.MP4",3204,12.2000000476837,40.811157,-96.6894699,0.009,1
"gopro",124,"GX010003.MP4",3205,12.2999999523163,40.8111568,-96.6894699,0.024,1
"gopro",125,"GX010003.MP4",3206,12.4000000953674,40.8111567,-96.68947,0.036,1
"gopro",126,"GX010003.MP4",3207,12.5,40.8111564,-96.68947,0.072,1
"gopro",127,"GX010003.MP4",3208,12.5999999046326,40.8111564,-96.6894701,0.065,1
"gopro",128,"GX010003.MP4",3209,12.7000000476837,40.8111562,-96.6894701,0.034,1
"gopro",129,"GX010003.MP4",3210,12.7999999523163,40.8111561,-96.6894701,0.057,1
"gopro",130,"GX010003.MP4",3211,12.9000000953674,40.811156,-96.6894701,0.067,1
"garmin",14,"GRMN0213.MP4",46,13,40.8110815,-96.6894486,0,1
"gopro",131,"GX010003.MP4",3212,13,40.8111558,-96.6894703,0.11,1
"redtiger",14,"20260713052715_000198F.MP4",58,13,40.8111491,-96.6894857,0,1
"rove",14,"REC20260713-052715-187.mp4",58,13,40.8111353,-96.6894298,0,1
"gopro",132,"GX010003.MP4",3213,13.0999999046326,40.8111556,-96.6894703,0.021,1
"gopro",133,"GX010003.MP4",3214,13.2000000476837,40.8111554,-96.6894702,0.075,1
"gopro",134,"GX010003.MP4",3215,13.2999999523163,40.8111554,-96.6894703,0.079,1
"gopro",135,"GX010003.MP4",3216,13.4000000953674,40.8111553,-96.6894703,0.041,1
"gopro",136,"GX010003.MP4",3217,13.5,40.811155,-96.6894704,0.063,1
"gopro",137,"GX010003.MP4",3218,13.5999999046326,40.8111549,-96.6894704,0.076,1
"gopro",138,"GX010003.MP4",3219,13.7000000476837,40.8111548,-96.6894706,0.102,1
