"timeSec","speedMps","rpm","throttlePct","yellowWire","greenWire","obdConnected","arduinoConnected"
-125.057000112534,,,,,,0,1
-124.956000041962,,,,,,0,1
-124.85499997139,,,,,,0,1
-124.755000066757,,,,,,0,1
-124.654999923706,,,,,,0,1
-124.554000091553,,,,,,0,1
-124.453999948502,,,,0,0,0,1
-124.354000043869,,,,0,0,0,1
-124.252999973297,,,,0,0,0,1
-124.153000068665,,,,0,0,0,1
-124.052999925613,,,,0,0,0,1
-123.95200009346,,,,0,0,0,1
-123.851999950409,,,,0,0,0,1
-123.752000045776,,,,0,0,0,1
-123.651999902725,,,,0,0,0,1
-123.551000070572,,,,0,0,0,1
-123.450999927521,,,,0,0,0,1
-123.351000022888,,,,0,0,0,1
-123.249999952316,,,,0,0,0,1
-123.150000047684,,,,0,0,0,1
-123.049999904633,,,,0,0,0,1
-122.949000072479,,,,0,0,0,1
-122.848999929428,,,,0,0,0,1
-122.749000024796,,,,0,0,0,1
-122.647999954224,,,,0,0,0,1
-122.548000049591,,,,0,0,0,1
-122.44799990654,,,,0,0,0,1
-122.347000074387,,,,0,0,0,1
-122.246999931335,,,,0,0,0,1
-122.147000026703,,,,0,0,0,1
-122.045999956131,,,,0,0,0,1
-121.946000051498,,,,0,0,0,1
-121.845999908447,,,,0,0,0,1
-121.745000076294,,,,0,0,0,1
-121.644999933243,,,,0,0,0,1
-121.54500002861,,,,0,0,0,1
-121.443999958038,,,,0,0,0,1
-121.344000053406,,,,0,0,0,1
-121.243999910355,,,,0,0,0,1
-121.143000078201,,,,0,0,0,1
-121.04299993515,,,,0,0,0,1
-120.943000030518,,,,0,0,0,1
-120.841999959946,,,,0,0,0,1
-120.742000055313,,,,0,0,0,1
-120.640999984741,,,,0,0,0,1
-120.541000080109,,,,0,0,0,1
-120.440000009537,,,,0,0,0,1
-120.340000104904,,,,0,0,0,1
-120.239999961853,,,,0,0,0,1
-120.138999891281,,,,0,0,0,1
-120.038999986649,,,,0,0,0,1
-119.939000082016,,,,0,0,0,1
-119.838000011444,,,,0,0,0,1
-119.738000106812,,,,0,0,0,1
-119.63700003624,,,,0,0,0,1
