clip,sampleIndex,timeUtc,latitude,longitude,speed,speedUnits,fixStatus,accelX,accelY,accelZ,accelUnits,gyroX,gyroY,gyroZ,gyroUnits
GX010003.MP4,3082,2026-07-13T10:28:00+00:00,40.811177,-96.6894718,0.0792,km/h,3D,-9.5742,0.4498,-2.4052,m/s^2,-0.00144,-0.00165,-0.00383,rad/s
GX010003.MP4,3083,2026-07-13T10:28:00.100000+00:00,40.8111769,-96.6894718,0.0576,km/h,3D,-9.5992,0.4528,-2.409,m/s^2,-0.00186,-0.00112,-0.00426,rad/s
GX010003.MP4,3084,2026-07-13T10:28:00.200000+00:00,40.8111767,-96.6894718,0.1368,km/h,3D,-8.58,0.4503,-2.4029,m/s^2,-0.00179,-0.00101,-0.00454,rad/s
GX010003.MP4,3085,2026-07-13T10:28:00.300000+00:00,40.8111766,-96.6894719,0.3312,km/h,3D,-9.5759,0.4633,-2.4066,m/s^2,-0.00154,-0.0008,-0.00383,rad/s
GX010003.MP4,3086,2026-07-13T10:28:00.400000+00:00,40.8111765,-96.6894718,0.2556,km/h,3D,-9.603,0.451,-2.4,m/s^2,-0.00138,-0.00133,-0.00453,rad/s
GX010003.MP4,3087,2026-07-13T10:28:00.500000+00:00,40.8111764,-96.6894717,0.198,km/h,3D,-9.585,0.4552,-2.4054,m/s^2,-0.00154,-0.00085,-0.00442,rad/s
GX010003.MP4,3088,2026-07-13T10:28:00.600000+00:00,40.8111763,-96.6894716,0.0216,km/h,3D,-9.5867,0.448,-2.4028,m/s^2,-0.00157,-0.00129,-0.00443,rad/s
GX010003.MP4,3089,2026-07-13T10:28:00.700000+00:00,40.8111762,-96.6894715,0.1116,km/h,3D,-9.5988,0.4542,-2.4001,m/s^2,-0.00197,-0.00096,-0.00367,rad/s
GX010003.MP4,3090,2026-07-13T10:28:00.800000+00:00,40.8111762,-96.6894714,0.1512,km/h,3D,-9.5799,0.4489,-2.4082,m/s^2,-0.0016,-0.00101,-0.00405,rad/s
GX010003.MP4,3091,2026-07-13T10:28:00.900000+00:00,40.811176,-96.6894714,0.3204,km/h,3D,-9.5897,0.4495,-2.4047,m/s^2,-0.0016,-0.00096,-0.00399,rad/s
GX010003.MP4,3092,2026-07-13T10:28:01+00:00,40.8111759,-96.6894713,0.1224,km/h,3D,-9.586,0.4492,-2.4034,m/s^2,-0.00106,-0.00112,-0.00387,rad/s
GX010003.MP4,3093,2026-07-13T10:28:01.100000+00:00,40.8111758,-96.6894713,0.1728,km/h,3D,-9.5792,0.4573,-2.4089,m/s^2,-0.00144,-0.00059,-0.00437,rad/s
GX010003.MP4,3094,2026-07-13T10:28:01.200000+00:00,40.8111758,-96.6894712,0.2484,km/h,3D,-8.6296,0.4595,-2.3945,m/s^2,-0.00122,-0.00085,-0.00437,rad/s
GX010003.MP4,3095,2026-07-13T10:28:01.300000+00:00,40.8111757,-96.6894711,0.2484,km/h,3D,-9.5848,0.4574,-2.4017,m/s^2,-0.00096,-0.00059,-0.00373,rad/s
GX010003.MP4,3096,2026-07-13T10:28:01.400000+00:00,40.8111756,-96.6894712,0.3348,km/h,3D,-9.5841,0.4513,-2.3986,m/s^2,-0.00185,-0.00157,-0.00482,rad/s
GX010003.MP4,3097,2026-07-13T10:28:01.500000+00:00,40.8111754,-96.6894711,0.1512,km/h,3D,-9.5835,0.4611,-2.4112,m/s^2,-0.00128,-0.00106,-0.00442,rad/s
GX010003.MP4,3098,2026-07-13T10:28:01.600000+00:00,40.8111753,-96.6894711,0.018,km/h,3D,-9.5882,0.4504,-2.4005,m/s^2,-0.00128,-0.00101,-0.00415,rad/s
GX010003.MP4,3099,2026-07-13T10:28:01.700000+00:00,40.8111753,-96.6894711,0.126,km/h,3D,-9.5838,0.4549,-2.4029,m/s^2,-0.00133,-0.0008,-0.00421,rad/s
GX010003.MP4,3100,2026-07-13T10:28:01.800000+00:00,40.8111751,-96.689471,0.0468,km/h,3D,-9.5831,0.4458,-2.4074,m/s^2,-0.0009,-0.00028,-0.00448,rad/s
GX010003.MP4,3101,2026-07-13T10:28:01.900000+00:00,40.8111751,-96.689471,0.234,km/h,3D,-9.5835,0.4573,-2.4071,m/s^2,-0.0016,-0.00133,-0.00421,rad/s
GX010003.MP4,3102,2026-07-13T10:28:02+00:00,40.8111749,-96.689471,0.1944,km/h,3D,-9.5902,0.4472,-2.3971,m/s^2,-0.00218,-0.00043,-0.00431,rad/s
GX010003.MP4,3103,2026-07-13T10:28:02.100000+00:00,40.8111747,-96.689471,0.1908,km/h,3D,-9.5812,0.4514,-2.406,m/s^2,-0.00133,-0.00128,-0.00426,rad/s
GX010003.MP4,3104,2026-07-13T10:28:02.200000+00:00,40.8111745,-96.689471,0.3888,km/h,3D,-8.6381,0.4487,-2.4056,m/s^2,-0.00101,-0.00085,-0.00458,rad/s
GX010003.MP4,3105,2026-07-13T10:28:02.300000+00:00,40.8111744,-96.689471,0.09,km/h,3D,-9.5873,0.4493,-2.3986,m/s^2,-0.00146,-0.00129,-0.0037,rad/s
GX010003.MP4,3106,2026-07-13T10:28:02.400000+00:00,40.8111742,-96.689471,0.1692,km/h,3D,-9.585,0.4558,-2.4038,m/s^2,-0.00186,-0.00101,-0.00442,rad/s
GX010003.MP4,3107,2026-07-13T10:28:02.500000+00:00,40.811174,-96.6894711,0.234,km/h,3D,-9.5897,0.462,-2.4055,m/s^2,-0.0016,-0.00101,-0.00447,rad/s
GX010003.MP4,3108,2026-07-13T10:28:02.600000+00:00,40.8111737,-96.6894711,0.1296,km/h,3D,-9.5904,0.4626,-2.3996,m/s^2,-0.00133,-0.00091,-0.00479,rad/s
GX010003.MP4,3109,2026-07-13T10:28:02.700000+00:00,40.8111736,-96.6894711,0.3348,km/h,3D,-9.5766,0.4478,-2.4053,m/s^2,-0.00146,-0.00157,-0.0042,rad/s
GX010003.MP4,3110,2026-07-13T10:28:02.800000+00:00,40.8111734,-96.6894712,0.27,km/h,3D,-9.5922,0.4569,-2.4121,m/s^2,-0.00165,-0.00075,-0.00437,rad/s
GX010003.MP4,3111,2026-07-13T10:28:02.900000+00:00,40.811173,-96.6894712,0.594,km/h,3D,-9.5882,0.4536,-2.4005,m/s^2,-0.00202,-0.00085,-0.00447,rad/s
GX010003.MP4,3112,2026-07-13T10:28:03+00:00,40.8111728,-96.6894713,0.2052,km/h,3D,-9.5926,0.4522,-2.4076,m/s^2,-0.00149,-0.00138,-0.00453,rad/s
GX010003.MP4,3113,2026-07-13T10:28:03.100000+00:00,40.8111727,-96.6894713,0.5112,km/h,3D,-9.5899,0.4507,-2.4036,m/s^2,-0.00157,-0.00084,-0.00387,rad/s
GX010003.MP4,3114,2026-07-13T10:28:03.200000+00:00,40.8111725,-96.6894714,0.1692,km/h,3D,-8.6278,0.4522,-2.4025,m/s^2,-0.00133,-0.00144,-0.00474,rad/s
GX010003.MP4,3115,2026-07-13T10:28:03.300000+00:00,40.8111722,-96.6894715,0.2232,km/h,3D,-9.5906,0.4565,-2.4043,m/s^2,-0.0016,-0.00069,-0.0041,rad/s
GX010003.MP4,3116,2026-07-13T10:28:03.400000+00:00,40.811172,-96.6894715,0.1584,km/h,3D,-9.583,0.458,-2.406,m/s^2,-0.0016,-0.00091,-0.00373,rad/s
GX010003.MP4,3117,2026-07-13T10:28:03.500000+00:00,40.8111719,-96.6894717,0.3924,km/h,3D,-9.5926,0.4571,-2.4094,m/s^2,-0.00151,-0.0014,-0.00409,rad/s
GX010003.MP4,3118,2026-07-13T10:28:03.600000+00:00,40.8111716,-96.6894718,0.3024,km/h,3D,-9.5904,0.4528,-2.3984,m/s^2,-0.00224,-0.00149,-0.00405,rad/s
GX010003.MP4,3119,2026-07-13T10:28:03.700000+00:00,40.8111713,-96.689472,0.2484,km/h,3D,-9.5898,0.4622,-2.4063,m/s^2,-0.0016,-0.00138,-0.00469,rad/s
GX010003.MP4,3120,2026-07-13T10:28:03.800000+00:00,40.8111712,-96.6894719,0.576,km/h,3D,-9.5773,0.449,-2.4115,m/s^2,-0.0017,-0.00122,-0.00463,rad/s
