"pointId","timeSec","lap","latitude","longitude","confidencePct","notes","triggers","customTrigger","locationHeld","stopGroup"
0,0,1,40.8111465928225,-96.6894027963281,95,"at starting area, high confidence","begin_stop",,FALSE,1
1,137.31,1,40.8111430413901,-96.6894027963281,95,,"finish_stop|turn_begin_nonint",,FALSE,
2,147.95,1,40.8112897066277,-96.6896287724376,85,"third parking spot as marker, moderate high confidence","turn_finish_nonint",,FALSE,
3,153.24,1,40.8112902191347,-96.6898031160236,75,"crossing parking lot intersection, moderate conf","enter_intersection",,FALSE,
4,157.65,1,40.8112861627719,-96.6899627074599,75,"finished crossing parking lot intersection, moderate conf","exit_intersection",,FALSE,
5,169.94,1,40.8112947947131,-96.6904964670539,75,"stopped at stop sign to leave parking lot, moderate confidence","begin_stop",,FALSE,2
6,172.5,1,40.8112947947131,-96.6904964670539,75,"stopped at stop sign to leave parking lot, moderate confidence","finish_stop",,TRUE,2
7,176.47,1,40.811308495127,-96.6905621811748,75,"turning to leave parking lot, moderate confidence","enter_intersection",,FALSE,
8,180.35,1,40.8113531493213,-96.6906178370118,75,"finishing turn from parking lot, crosswalk as reference, moderate confidence","exit_intersection",,FALSE,
9,198.87,1,40.8123245371685,-96.6906164959073,75,"stopped before parking spot, moderate conf","begin_stop",,FALSE,3
10,201.16,1,40.8123245371685,-96.6906164959073,75,"stopped before parking spot, moderate conf","finish_stop",,TRUE,3
11,204.9,1,40.8123768084911,-96.6906164959073,75,"crossed crosswalk,  moderate confidence","enter_intersection",,FALSE,
12,208.2,1,40.8125204331725,-96.6907392069698,65,"just before crosswalk and drain,  moderate low confidence","exit_intersection",,FALSE,
13,237.21,1,40.8125397262518,-96.693668179214,75,,"begin_stop",,FALSE,4
14,265.52,1,40.8125397262518,-96.693668179214,75,,"finish_stop",,TRUE,4
15,266.84,1,40.8125422625918,-96.6937633976341,75,,"enter_intersection",,FALSE,
16,271.46,1,40.8125265337731,-96.6941737756133,75,,"exit_intersection",,FALSE,
17,280.09,1,40.81249100745,-96.6952198371291,60,,"enter_intersection",,FALSE,
18,281.44,1,40.8124930361107,-96.6954263672233,60,,"exit_intersection",,FALSE,
19,290.85,1,40.8124950671795,-96.6966447606683,60,,"enter_intersection",,FALSE,
20,292.44,1,40.8124970961841,-96.6968754306436,70,,"exit_intersection",,FALSE,
21,305.87,1,40.8125067397175,-96.6980012878776,75,,"begin_stop",,FALSE,5
22,324.5,1,40.8125067397175,-96.6980012878776,75,,"finish_stop",,TRUE,5
23,327.19,1,40.8125052175343,-96.698087118566,65,,"enter_intersection",,FALSE,
24,330.13,1,40.8125011583214,-96.6983191296458,65,,"exit_intersection",,FALSE,
25,343.8,1,40.8125016647985,-96.6994288936258,75,,"begin_stop",,FALSE,6
