point_idx,video_time_sec,true_time_local,true_time_utc,trip,click_lat,click_lon,confidence_pct,notes,triggers,trigger_labels,custom_trigger,trg_enter_intersection,trg_exit_intersection,trg_begin_stop,trg_finish_stop,trg_blinker_on,trg_lane_change_begin,trg_lane_change_finish,trg_turn_begin_nonint,trg_turn_finish_nonint,location_held,stop_group,wire_yellow,wire_green,signal_state,gps_mean_lat,gps_mean_lon,garmin_lat,garmin_lon,gopro_lat,gopro_lon,redtiger_lat,redtiger_lon,rove_lat,rove_lon
0,0.00,2026-07-13T05:28:00-05:00,2026-07-13T10:28:00+00:00,1,40.8111465928225,-96.68940279632808,95,"at starting area, high confidence",begin_stop,began stopping,,0,0,1,0,0,0,0,0,0,no,1,0,0,off,40.8111348,-96.689459,40.8110815,-96.6894486,40.811177,-96.6894718,40.811145,-96.6894857,40.8111357,-96.6894297
1,137.31,2026-07-13T05:30:17.310000-05:00,2026-07-13T10:30:17.310000+00:00,1,40.8111430413901,-96.68940279632808,95,,finish_stop|turn_begin_nonint,finished stop|start turn that is not at an intersection,,0,0,0,1,0,0,0,1,0,no,,1,1,left,40.8111332,-96.6894597,40.8110815,-96.6894486,40.8111581,-96.6894843,40.8111532,-96.6894694,40.81114,-96.6894363
2,147.95,2026-07-13T05:30:27.950000-05:00,2026-07-13T10:30:27.950000+00:00,1,40.81128970662774,-96.68962877243757,85,"third parking spot as marker, moderate high confidence",turn_finish_nonint,finish turn that is not an intersection,,0,0,0,0,0,0,0,0,1,no,,0,0,off,40.8112527,-96.6895959,40.8112046,-96.689538,40.8112832,-96.6896317,40.811263,-96.6896322,40.8112598,-96.6895818
3,153.24,2026-07-13T05:30:33.240000-05:00,2026-07-13T10:30:33.240000+00:00,1,40.81129021913474,-96.68980311602357,75,"crossing parking lot intersection, moderate conf",enter_intersection,entered intersection (crossed beyond crosswalk),,1,0,0,0,0,0,0,0,0,no,,0,0,off,40.8112682,-96.6897876,40.8112302,-96.6897286,40.8112969,-96.6898226,40.8112834,-96.6898112,40.8112625,-96.689788
4,157.65,2026-07-13T05:30:37.650000-05:00,2026-07-13T10:30:37.650000+00:00,1,40.81128616277191,-96.68996270745994,75,"finished crossing parking lot intersection, moderate conf",exit_intersection,exited intersection (just before crosswalk),,0,1,0,0,0,0,0,0,0,no,,0,0,off,40.8112753,-96.6899219,40.81124,-96.689863,40.8113035,-96.6899597,40.8112915,-96.6899414,40.8112662,-96.6899235
5,169.94,2026-07-13T05:30:49.940000-05:00,2026-07-13T10:30:49.940000+00:00,1,40.81129479471307,-96.69049646705389,75,"stopped at stop sign to leave parking lot, moderate confidence",begin_stop,began stopping,,0,0,1,0,0,0,0,0,0,no,2,1,0,right,40.8112961,-96.690493,40.8112955,-96.6904601,40.8113215,-96.6905166,40.8112915,-96.6904948,40.8112757,-96.6905005
6,172.50,2026-07-13T05:30:52.500000-05:00,2026-07-13T10:30:52.500000+00:00,1,40.81129479471307,-96.69049646705389,75,"stopped at stop sign to leave parking lot, moderate confidence",finish_stop,finished stop,,0,0,0,1,0,0,0,0,0,yes,2,0,0,right,40.8112968,-96.6905223,40.8113011,-96.6905125,40.8113219,-96.690531,40.8112915,-96.6905273,40.8112728,-96.6905183
7,176.47,2026-07-13T05:30:56.470000-05:00,2026-07-13T10:30:56.470000+00:00,1,40.81130849512696,-96.69056218117477,75,"turning to leave parking lot, moderate confidence",enter_intersection,entered intersection (crossed beyond crosswalk),,1,0,0,0,0,0,0,0,0,no,,1,1,right,40.8113021,-96.6905754,40.8113072,-96.6905643,40.8113267,-96.6905899,40.8112956,-96.6905762,40.811279,-96.690571
8,180.35,2026-07-13T05:31:00.350000-05:00,2026-07-13T10:31:00.350000+00:00,1,40.81135314932128,-96.69061783701184,75,"finishing turn from parking lot, crosswalk as reference, moderate confidence",exit_intersection,exited intersection (just before crosswalk),,0,1,0,0,0,0,0,0,0,no,,0,0,right,40.8113251,-96.6906323,40.8113188,-96.6906212,40.8113557,-96.6906533,40.81132,-96.690625,40.8113058,-96.6906298
9,198.87,2026-07-13T05:31:18.870000-05:00,2026-07-13T10:31:18.870000+00:00,1,40.81232453716847,-96.69061649590732,75,"stopped before parking spot, moderate conf",begin_stop,began stopping,,0,0,1,0,0,0,0,0,0,no,3,0,1,left,40.8123131,-96.6906651,40.8123101,-96.6906573,40.812329,-96.690671,40.8123169,-96.6906738,40.8122963,-96.6906582
10,201.16,2026-07-13T05:31:21.160000-05:00,2026-07-13T10:31:21.160000+00:00,1,40.81232453716847,-96.69061649590732,75,"stopped before parking spot, moderate conf",finish_stop,finished stop,,0,0,0,1,0,0,0,0,0,yes,3,0,0,left,40.8123172,-96.6906641,40.8123118,-96.6906562,40.8123304,-96.6906745,40.812325,-96.6906738,40.8123018,-96.6906517
11,204.90,2026-07-13T05:31:24.900000-05:00,2026-07-13T10:31:24.900000+00:00,1,40.81237680849114,-96.69061649590732,75,"crossed crosswalk,  moderate confidence",enter_intersection,entered intersection (crossed beyond crosswalk),,1,0,0,0,0,0,0,0,0,no,,1,0,left,40.8123586,-96.6906639,40.8123517,-96.6906482,40.812374,-96.6906815,40.8123576,-96.6906738,40.812351,-96.6906522
12,208.20,2026-07-13T05:31:28.200000-05:00,2026-07-13T10:31:28.200000+00:00,1,40.81252043317249,-96.69073920696975,65,"just before crosswalk and drain,  moderate low confidence",exit_intersection,exited intersection (just before crosswalk),,0,1,0,0,0,0,0,0,0,no,,0,0,left,40.8125008,-96.690746,40.8125124,-96.690703,40.8125057,-96.6907762,40.8125041,-96.6907552,40.8124812,-96.6907495
13,237.21,2026-07-13T05:31:57.210000-05:00,2026-07-13T10:31:57.210000+00:00,1,40.81253972625179,-96.693668179214,75,,begin_stop,began stopping,,0,0,1,0,0,0,0,0,0,no,4,1,1,brake,40.8125432,-96.6936848,40.8125428,-96.6936995,40.8125509,-96.6936684,40.8125529,-96.6936849,40.8125262,-96.6936865
14,265.52,2026-07-13T05:32:25.520000-05:00,2026-07-13T10:32:25.520000+00:00,1,40.81253972625179,-96.693668179214,75,,finish_stop,finished stop,,0,0,0,1,0,0,0,0,0,yes,4,0,0,off,40.8125419,-96.6936806,40.8125431,-96.6936806,40.812549,-96.6936817,40.8125488,-96.6936686,40.8125267,-96.6936915
15,266.84,2026-07-13T05:32:26.840000-05:00,2026-07-13T10:32:26.840000+00:00,1,40.81254226259179,-96.69376339763406,75,,enter_intersection,entered intersection (crossed beyond crosswalk),,1,0,0,0,0,0,0,0,0,no,,0,0,off,40.8125422,-96.6937044,40.8125427,-96.6936898,40.812549,-96.6937162,40.8125488,-96.6936849,40.8125285,-96.6937268
16,271.46,2026-07-13T05:32:31.460000-05:00,2026-07-13T10:32:31.460000+00:00,1,40.812526533773074,-96.69417377561332,75,,exit_intersection,exited intersection (just before crosswalk),,0,1,0,0,0,0,0,0,0,no,,0,0,off,40.8125374,-96.6941197,40.8125414,-96.694133,40.812544,-96.6941308,40.8125366,-96.6940918,40.8125275,-96.6941233
17,280.09,2026-07-13T05:32:40.090000-05:00,2026-07-13T10:32:40.090000+00:00,1,40.812491007449985,-96.69521983712913,60,,enter_intersection,entered intersection (crossed beyond crosswalk),,1,0,0,0,0,0,0,0,0,no,,0,0,off,40.8124998,-96.6952152,40.8124961,-96.6952275,40.8125058,-96.6952185,40.8125,-96.6951986,40.8124973,-96.6952163
18,281.44,2026-07-13T05:32:41.440000-05:00,2026-07-13T10:32:41.440000+00:00,1,40.81249303611066,-96.69542636722329,60,,exit_intersection,exited intersection (just before crosswalk),,0,1,0,0,0,0,0,0,0,no,,0,0,off,40.8124978,-96.6953422,40.8124946,-96.695354,40.8125051,-96.6953442,40.8124959,-96.6953288,40.8124958,-96.695342
19,290.85,2026-07-13T05:32:50.850000-05:00,2026-07-13T10:32:50.850000+00:00,1,40.8124950671795,-96.69664476066829,60,,enter_intersection,entered intersection (crossed beyond crosswalk),,1,0,0,0,0,0,0,0,0,no,,0,0,off,40.8125031,-96.6965113,40.812503,-96.6965245,40.8125143,-96.6965098,40.8125,-96.6965007,40.812495,-96.69651
20,292.44,2026-07-13T05:32:52.440000-05:00,2026-07-13T10:32:52.440000+00:00,1,40.812497096184075,-96.69687543064357,70,,exit_intersection,exited intersection (just before crosswalk),,0,1,0,0,0,0,0,0,0,no,,0,0,off,40.8125021,-96.6967853,40.8125029,-96.6968033,40.8125131,-96.6967819,40.8125,-96.6967773,40.8124925,-96.6967785
21,305.87,2026-07-13T05:33:05.870000-05:00,2026-07-13T10:33:05.870000+00:00,1,40.8125067397175,-96.69800128787756,75,,begin_stop,began stopping,,0,0,1,0,0,0,0,0,0,no,5,1,1,brake,40.8125145,-96.6980318,40.8125175,-96.6980353,40.8125238,-96.6980129,40.8125122,-96.6980306,40.8125043,-96.6980483
22,324.50,2026-07-13T05:33:24.500000-05:00,2026-07-13T10:33:24.500000+00:00,1,40.8125067397175,-96.69800128787756,75,,finish_stop,finished stop,,0,0,0,1,0,0,0,0,0,yes,5,0,0,off,40.8125168,-96.6980352,40.8125173,-96.6980277,40.8125227,-96.6980165,40.8125244,-96.6980469,40.8125028,-96.6980498
23,327.19,2026-07-13T05:33:27.190000-05:00,2026-07-13T10:33:27.190000+00:00,1,40.81250521753425,-96.69808711856604,65,,enter_intersection,entered intersection (crossed beyond crosswalk),,1,0,0,0,0,0,0,0,0,no,,0,0,off,40.8125135,-96.6980955,40.8125099,-96.6980963,40.8125233,-96.6980837,40.8125203,-96.6980957,40.8125005,-96.6981062
24,330.13,2026-07-13T05:33:30.130000-05:00,2026-07-13T10:33:30.130000+00:00,1,40.812501158321446,-96.69831912964582,65,,exit_intersection,exited intersection (just before crosswalk),,0,1,0,0,0,0,0,0,0,no,,0,0,off,40.8125118,-96.6982975,40.8125085,-96.6983081,40.8125216,-96.698294,40.8125203,-96.698291,40.8124968,-96.6982968
25,343.80,2026-07-13T05:33:43.800000-05:00,2026-07-13T10:33:43.800000+00:00,1,40.81250166479847,-96.69942889362575,75,,begin_stop,began stopping,,0,0,1,0,0,0,0,0,0,no,6,1,1,brake,40.8125096,-96.6994125,40.8125102,-96.6994372,40.8125228,-96.6993828,40.8125081,-96.6993978,40.8124973,-96.6994322
26,345.68,2026-07-13T05:33:45.680000-05:00,2026-07-13T10:33:45.680000+00:00,1,40.81250166479847,-96.69942889362575,75,,finish_stop,finished stop,,0,0,0,1,0,0,0,0,0,yes,6,0,0,off,40.8125093,-96.6994216,40.8125112,-96.6994392,40.8125217,-96.6993917,40.8125041,-96.6994141,40.8125002,-96.6994413
27,350.18,2026-07-13T05:33:50.180000-05:00,2026-07-13T10:33:50.180000+00:00,1,40.81250291358856,-96.69959552586079,60,,enter_intersection,entered intersection (crossed beyond crosswalk),,1,0,0,0,0,0,0,0,0,no,,0,0,off,40.812509,-96.6995856,40.8125123,-96.6996021,40.8125191,-96.6995793,40.8125,-96.6995605,40.8125047,-96.6996005
