camera,clip,sample_idx,ts_utc_raw,lat_deg,lon_deg,speed_mph_from_camera,speed_mph_calculated,speed_source,fix_status,fix_ok,accel_x,accel_y,accel_z,accel_units,gyro_x,gyro_y,gyro_z,gyro_units
Garmin X310,GRMN0213.MP4,33,2026-07-13T10:28:00+00:00,40.8110815,-96.6894486,0,,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,34,2026-07-13T10:28:01+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,35,2026-07-13T10:28:02+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,36,2026-07-13T10:28:03+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,37,2026-07-13T10:28:04+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,38,2026-07-13T10:28:05+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,39,2026-07-13T10:28:06+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,40,2026-07-13T10:28:07+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,41,2026-07-13T10:28:08+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,42,2026-07-13T10:28:09+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,43,2026-07-13T10:28:10+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,44,2026-07-13T10:28:11+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,45,2026-07-13T10:28:12+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,46,2026-07-13T10:28:13+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,47,2026-07-13T10:28:14+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,48,2026-07-13T10:28:15+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,49,2026-07-13T10:28:16+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,50,2026-07-13T10:28:17+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,51,2026-07-13T10:28:18+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,52,2026-07-13T10:28:19+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,53,2026-07-13T10:28:20+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,54,2026-07-13T10:28:21+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,55,2026-07-13T10:28:22+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,56,2026-07-13T10:28:23+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,57,2026-07-13T10:28:24+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,58,2026-07-13T10:28:25+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0213.MP4,59,2026-07-13T10:28:26+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0214.MP4,0,2026-07-13T10:28:27+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0214.MP4,1,2026-07-13T10:28:28+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0214.MP4,2,2026-07-13T10:28:29+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0214.MP4,3,2026-07-13T10:28:30+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0214.MP4,4,2026-07-13T10:28:31+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0214.MP4,5,2026-07-13T10:28:32+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0214.MP4,6,2026-07-13T10:28:33+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0214.MP4,7,2026-07-13T10:28:34+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0214.MP4,8,2026-07-13T10:28:35+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0214.MP4,9,2026-07-13T10:28:36+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0214.MP4,10,2026-07-13T10:28:37+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0214.MP4,11,2026-07-13T10:28:38+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
Garmin X310,GRMN0214.MP4,12,2026-07-13T10:28:39+00:00,40.8110815,-96.6894486,0,0.0,from_camera,fix,1,,,,,,,,
