Computer_DateTime,Seconds_Elapsed,RPM,Speed_MPH,Throttle_Pct,Yellow_Wire,Green_Wire,Arduino_Millis,OBD_Connected,Arduino_Connected
2026-03-02 00:39:16.143,1.053,,,,,,,0,1
2026-03-02 00:39:16.244,1.154,,,,,,,0,1
2026-03-02 00:39:16.345,1.255,,,,,,,0,1
2026-03-02 00:39:16.445,1.355,,,,,,,0,1
2026-03-02 00:39:16.545,1.456,,,,,,,0,1
2026-03-02 00:39:16.646,1.556,,,,,,,0,1
2026-03-02 00:39:16.746,1.656,,,,0,0,56,0,1
2026-03-02 00:39:16.846,1.756,,,,0,0,158,0,1
2026-03-02 00:39:16.947,1.857,,,,0,0,257,0,1
2026-03-02 00:39:17.047,1.957,,,,0,0,359,0,1
2026-03-02 00:39:17.147,2.057,,,,0,0,457,0,1
2026-03-02 00:39:17.248,2.158,,,,0,0,560,0,1
2026-03-02 00:39:17.348,2.258,,,,0,0,657,0,1
2026-03-02 00:39:17.448,2.358,,,,0,0,759,0,1
2026-03-02 00:39:17.548,2.459,,,,0,0,858,0,1
2026-03-02 00:39:17.649,2.559,,,,0,0,960,0,1
2026-03-02 00:39:17.749,2.659,,,,0,0,1058,0,1
2026-03-02 00:39:17.849,2.759,,,,0,0,1160,0,1
2026-03-02 00:39:17.950,2.860,,,,0,0,1258,0,1
2026-03-02 00:39:18.050,2.960,,,,0,0,1358,0,1
2026-03-02 00:39:18.150,3.060,,,,0,0,1459,0,1
2026-03-02 00:39:18.251,3.161,,,,0,0,1560,0,1
2026-03-02 00:39:18.351,3.261,,,,0,0,1658,0,1
2026-03-02 00:39:18.451,3.361,,,,0,0,1761,0,1
2026-03-02 00:39:18.552,3.462,,,,0,0,1859,0,1
2026-03-02 00:39:18.652,3.562,,,,0,0,1958,0,1
2026-03-02 00:39:18.752,3.663,,,,0,0,2059,0,1
2026-03-02 00:39:18.853,3.763,,,,0,0,2158,0,1
2026-03-02 00:39:18.953,3.863,,,,0,0,2259,0,1
2026-03-02 00:39:19.053,3.963,,,,0,0,2362,0,1
2026-03-02 00:39:19.154,4.064,,,,0,0,2459,0,1
2026-03-02 00:39:19.254,4.164,,,,0,0,2558,0,1
2026-03-02 00:39:19.354,4.264,,,,0,0,2660,0,1
2026-03-02 00:39:19.455,4.365,,,,0,0,2758,0,1
2026-03-02 00:39:19.555,4.465,,,,0,0,2861,0,1
2026-03-02 00:39:19.655,4.565,,,,0,0,2963,0,1
2026-03-02 00:39:19.756,4.666,,,,0,0,3060,0,1
2026-03-02 00:39:19.856,4.766,,,,0,0,3160,0,1
2026-03-02 00:39:19.956,4.866,,,,0,0,3261,0,1
2026-03-02 00:39:20.057,4.967,,,,0,0,3359,0,1
2026-03-02 00:39:20.157,5.067,,,,0,0,3462,0,1
2026-03-02 00:39:20.257,5.168,,,,0,0,3564,0,1
2026-03-02 00:39:20.358,5.268,,,,0,0,3661,0,1
2026-03-02 00:39:20.458,5.368,,,,0,0,3763,0,1
2026-03-02 00:39:20.559,5.469,,,,0,0,3862,0,1
2026-03-02 00:39:20.659,5.569,,,,0,0,3960,0,1
2026-03-02 00:39:20.760,5.670,,,,0,0,4063,0,1
2026-03-02 00:39:20.860,5.770,,,,0,0,4165,0,1
2026-03-02 00:39:20.960,5.870,,,,0,0,4262,0,1
2026-03-02 00:39:21.061,5.971,,,,0,0,4365,0,1
2026-03-02 00:39:21.161,6.071,,,,0,0,4463,0,1
2026-03-02 00:39:21.261,6.172,,,,0,0,4564,0,1
2026-03-02 00:39:21.362,6.272,,,,0,0,4664,0,1
2026-03-02 00:39:21.462,6.372,,,,0,0,4765,0,1
2026-03-02 00:39:21.563,6.473,,,,0,0,4864,0,1
2026-03-02 00:39:21.663,6.573,,,,0,0,4965,0,1
2026-03-02 00:39:21.763,6.673,,,,0,0,5064,0,1
2026-03-02 00:39:21.864,6.774,,,,0,0,5166,0,1
2026-03-02 00:39:21.964,6.874,,,,0,0,5265,0,1
2026-03-02 00:39:22.064,6.975,,,,0,0,5366,0,1
2026-03-02 00:39:22.165,7.075,,,,0,0,5465,0,1
2026-03-02 00:39:22.265,7.175,,,,0,0,5566,0,1
2026-03-02 00:39:22.366,7.276,,,,0,0,5665,0,1
2026-03-02 00:39:22.466,7.376,,,,0,0,5767,0,1
2026-03-02 00:39:22.566,7.477,,,,0,0,5866,1,1
2026-03-02 00:39:22.667,7.577,763,0.0,16.1,0,0,5967,1,1
2026-03-02 00:39:22.768,7.678,761,0.0,16.1,0,0,6066,1,1
2026-03-02 00:39:22.868,7.778,760,0.0,16.1,0,0,6167,1,1
2026-03-02 00:39:22.968,7.878,763,0.0,16.1,0,0,6265,1,1
2026-03-02 00:39:23.069,7.979,761,0.0,16.1,0,0,6368,1,1
2026-03-02 00:39:23.169,8.079,762,0.0,16.1,0,0,6466,1,1
2026-03-02 00:39:23.270,8.180,766,0.0,16.1,0,0,6568,1,1
2026-03-02 00:39:23.370,8.280,768,0.0,16.1,0,0,6666,1,1
2026-03-02 00:39:23.471,8.381,772,0.0,16.1,0,0,6768,1,1
2026-03-02 00:39:23.571,8.481,763,0.0,16.1,0,0,6866,1,1
2026-03-02 00:39:23.672,8.582,762,0.0,16.1,0,0,6969,1,1
2026-03-02 00:39:23.772,8.682,760,0.0,16.1,0,0,7071,1,1
2026-03-02 00:39:23.872,8.783,758,0.0,16.1,0,0,7170,1,1
2026-03-02 00:39:23.973,8.883,759,0.0,16.1,0,0,7271,1,1
2026-03-02 00:39:24.073,8.984,758,0.0,16.1,0,0,7369,1,1
2026-03-02 00:39:24.174,9.084,756,0.0,16.1,0,0,7472,1,1
2026-03-02 00:39:24.274,9.184,753,0.0,16.1,0,0,7570,1,1
2026-03-02 00:39:24.375,9.285,752,0.0,16.1,0,0,7671,1,1
2026-03-02 00:39:24.475,9.385,750,0.0,16.1,0,0,7771,1,1
2026-03-02 00:39:24.575,9.486,750,0.0,16.1,0,0,7872,1,1
2026-03-02 00:39:24.676,9.586,748,0.0,16.1,0,0,7970,1,1
2026-03-02 00:39:24.776,9.686,748,0.0,16.1,0,0,8073,1,1
2026-03-02 00:39:24.877,9.787,743,0.0,16.1,0,0,8171,1,1
2026-03-02 00:39:24.977,9.887,748,0.0,16.1,0,0,8272,1,1
2026-03-02 00:39:25.077,9.988,749,0.0,16.1,0,0,8372,1,1
2026-03-02 00:39:25.178,10.088,744,0.0,16.1,0,0,8473,1,1
2026-03-02 00:39:25.278,10.188,748,0.0,16.1,0,0,8571,1,1
2026-03-02 00:39:25.379,10.289,750,0.0,16.1,0,0,8673,1,1
2026-03-02 00:39:25.479,10.389,756,0.0,16.1,0,0,8772,1,1
2026-03-02 00:39:25.580,10.490,754,0.0,16.1,0,0,8873,1,1
2026-03-02 00:39:25.680,10.590,754,0.0,16.1,0,0,8972,1,1
2026-03-02 00:39:25.780,10.691,748,0.0,16.1,1,1,9074,1,1
2026-03-02 00:39:25.881,10.791,750,0.0,16.1,1,1,9171,1,1
2026-03-02 00:39:25.981,10.891,750,0.0,16.1,1,1,9274,1,1
2026-03-02 00:39:26.082,10.992,753,0.0,16.1,0,0,9377,1,1
2026-03-02 00:39:26.182,11.092,752,0.0,16.1,0,0,9475,1,1
2026-03-02 00:39:26.283,11.193,755,0.0,16.1,0,0,9577,1,1
2026-03-02 00:39:26.383,11.293,755,0.0,16.1,0,0,9675,1,1
2026-03-02 00:39:26.484,11.394,757,0.0,16.1,0,0,9777,1,1
2026-03-02 00:39:26.584,11.494,759,0.0,16.1,1,1,9875,1,1
2026-03-02 00:39:26.684,11.595,762,0.0,16.1,1,1,9977,1,1
2026-03-02 00:39:26.785,11.695,766,0.0,16.1,1,1,10076,1,1
2026-03-02 00:39:26.886,11.796,758,0.0,16.1,1,1,10177,1,1
2026-03-02 00:39:26.987,11.897,745,0.0,16.1,1,1,10276,1,1
2026-03-02 00:39:27.087,11.997,736,0.0,16.1,1,1,10378,1,1
2026-03-02 00:39:27.187,12.098,734,0.0,16.1,1,1,10478,1,1
2026-03-02 00:39:27.288,12.198,731,0.0,16.1,1,1,10578,1,1
