camera,clip,sample_idx,ts_utc_raw,lat_deg,lon_deg,speed_mph_from_camera,speed_mph_calculated,speed_source,fix_status,fix_ok,accel_x,accel_y,accel_z,accel_units,gyro_x,gyro_y,gyro_z,gyro_units
ROVE R2 4K Dual,REC20260713-052715-187.mp4,45,2026-07-13T10:28:00+00:00,40.8111357,-96.6894297,0,,from_camera,fix,1,0.08493,-1.11563,0.14554,g,,,,
ROVE R2 4K Dual,REC20260713-052715-187.mp4,46,2026-07-13T10:28:01+00:00,40.8111357,-96.6894297,0,0.0,from_camera,fix,1,0.08826,-1.11621,0.1422,g,,,,
ROVE R2 4K Dual,REC20260713-052715-187.mp4,47,2026-07-13T10:28:02+00:00,40.8111357,-96.6894297,0,0.0,from_camera,fix,1,0.08591,-1.11305,0.1468,g,,,,
ROVE R2 4K Dual,REC20260713-052715-187.mp4,48,2026-07-13T10:28:03+00:00,40.8111357,-96.6894298,0,0.02,from_camera,fix,1,0.08539,-1.11477,0.14444,g,,,,
ROVE R2 4K Dual,REC20260713-052715-187.mp4,49,2026-07-13T10:28:04+00:00,40.8111357,-96.6894298,0,0.0,from_camera,fix,1,0.08562,-1.1146,0.14525,g,,,,
ROVE R2 4K Dual,REC20260713-052715-187.mp4,50,2026-07-13T10:28:05+00:00,40.8111355,-96.68943,0,0.06,from_camera,fix,1,0.08498,-1.1173,0.14547,g,,,,
ROVE R2 4K Dual,REC20260713-052715-187.mp4,51,2026-07-13T10:28:06+00:00,40.8111355,-96.68943,0,0.0,from_camera,fix,1,0.08562,-1.11604,0.14387,g,,,,
ROVE R2 4K Dual,REC20260713-052715-187.mp4,52,2026-07-13T10:28:07+00:00,40.8111355,-96.6894298,0,0.04,from_camera,fix,1,0.0851,-1.11414,0.14565,g,,,,
ROVE R2 4K Dual,REC20260713-052715-187.mp4,53,2026-07-13T10:28:08+00:00,40.8111355,-96.68943,0,0.04,from_camera,fix,1,0.08435,-1.11655,0.14416,g,,,,
ROVE R2 4K Dual,REC20260713-052715-187.mp4,54,2026-07-13T10:28:09+00:00,40.8111353,-96.68943,0,0.05,from_camera,fix,1,0.08499,-1.11477,0.14485,g,,,,
ROVE R2 4K Dual,REC20260713-052715-187.mp4,55,2026-07-13T10:28:10+00:00,40.8111355,-96.6894298,0,0.06,from_camera,fix,1,0.08884,-1.11379,0.1472,g,,,,
ROVE R2 4K Dual,REC20260713-052715-187.mp4,56,2026-07-13T10:28:11+00:00,40.8111355,-96.6894298,0,0.0,from_camera,fix,1,0.08579,-1.11701,0.14479,g,,,,
ROVE R2 4K Dual,REC20260713-052715-187.mp4,57,2026-07-13T10:28:12+00:00,40.8111355,-96.6894298,0,0.0,from_camera,fix,1,0.08568,-1.11926,0.14473,g,,,,
ROVE R2 4K Dual,REC20260713-052715-187.mp4,58,2026-07-13T10:28:13+00:00,40.8111353,-96.6894298,0,0.05,from_camera,fix,1,0.08539,-1.11299,0.14381,g,,,,
ROVE R2 4K Dual,REC20260713-052815-188.mp4,0,2026-07-13T10:28:14+00:00,40.8111353,-96.68943,0,0.04,from_camera,fix,1,0.08755,-1.11639,0.14706,g,,,,
ROVE R2 4K Dual,REC20260713-052815-188.mp4,1,2026-07-13T10:28:15+00:00,40.8111355,-96.68943,0,0.05,from_camera,fix,1,0.08602,-1.11303,0.14229,g,,,,
ROVE R2 4K Dual,REC20260713-052815-188.mp4,2,2026-07-13T10:28:16+00:00,40.8111355,-96.6894303,0,0.06,from_camera,fix,1,0.08627,-1.114,0.14412,g,,,,
ROVE R2 4K Dual,REC20260713-052815-188.mp4,3,2026-07-13T10:28:17+00:00,40.8111357,-96.6894303,0,0.05,from_camera,fix,1,0.08343,-1.10988,0.14513,g,,,,
ROVE R2 4K Dual,REC20260713-052815-188.mp4,4,2026-07-13T10:28:18+00:00,40.811136,-96.6894303,0,0.07,from_camera,fix,1,0.08712,-1.11125,0.14125,g,,,,
ROVE R2 4K Dual,REC20260713-052815-188.mp4,5,2026-07-13T10:28:19+00:00,40.811136,-96.6894307,0,0.08,from_camera,fix,1,0.08437,-1.11492,0.14406,g,,,,
ROVE R2 4K Dual,REC20260713-052815-188.mp4,6,2026-07-13T10:28:20+00:00,40.8111362,-96.6894307,0,0.05,from_camera,fix,1,0.08648,-1.11437,0.14444,g,,,,
ROVE R2 4K Dual,REC20260713-052815-188.mp4,7,2026-07-13T10:28:21+00:00,40.8111362,-96.6894308,0,0.02,from_camera,fix,1,0.08388,-1.1151,0.144,g,,,,
