clip,sample_idx,ts_utc,active,lat_hem,lon_hem,lat_deg,lon_deg,hour,minute,second,year,month,day
20260426000123_000140F.MP4,0,2026-04-26T06:01:24+00:00,A,N,W,40.8414225,-96.7405436,6,1,24,26,4,26
20260426000123_000140F.MP4,1,2026-04-26T06:01:25+00:00,A,N,W,40.8414429,-96.7405273,6,1,25,26,4,26
20260426000123_000140F.MP4,2,2026-04-26T06:01:27+00:00,A,N,W,40.8414429,-96.7405273,6,1,27,26,4,26
20260426000123_000140F.MP4,3,2026-04-26T06:01:28+00:00,A,N,W,40.8414429,-96.7405273,6,1,28,26,4,26
20260426000123_000140F.MP4,4,2026-04-26T06:01:29+00:00,A,N,W,40.8414429,-96.7405273,6,1,29,26,4,26
20260426000123_000140F.MP4,5,2026-04-26T06:01:30+00:00,A,N,W,40.8414469,-96.7405111,6,1,30,26,4,26
20260426000123_000140F.MP4,6,2026-04-26T06:01:31+00:00,A,N,W,40.8414469,-96.7405111,6,1,31,26,4,26
20260426000123_000140F.MP4,7,2026-04-26T06:01:32+00:00,A,N,W,40.841451,-96.7405111,6,1,32,26,4,26
20260426000123_000140F.MP4,8,2026-04-26T06:01:33+00:00,A,N,W,40.841451,-96.7404948,6,1,33,26,4,26
20260426000123_000140F.MP4,9,2026-04-26T06:01:34+00:00,A,N,W,40.8414551,-96.7404948,6,1,34,26,4,26
20260426000123_000140F.MP4,10,2026-04-26T06:01:35+00:00,A,N,W,40.8414551,-96.7404948,6,1,35,26,4,26
20260426000123_000140F.MP4,11,2026-04-26T06:01:36+00:00,A,N,W,40.8414551,-96.7404785,6,1,36,26,4,26
20260426000123_000140F.MP4,12,2026-04-26T06:01:37+00:00,A,N,W,40.8414551,-96.7404785,6,1,37,26,4,26
20260426000123_000140F.MP4,13,2026-04-26T06:01:38+00:00,A,N,W,40.8414632,-96.7404785,6,1,38,26,4,26
20260426000123_000140F.MP4,14,2026-04-26T06:01:39+00:00,A,N,W,40.8414632,-96.7404785,6,1,39,26,4,26
20260426000123_000140F.MP4,15,2026-04-26T06:01:40+00:00,A,N,W,40.8414632,-96.7404785,6,1,40,26,4,26
20260426000123_000140F.MP4,16,2026-04-26T06:01:41+00:00,A,N,W,40.8414632,-96.7404785,6,1,41,26,4,26
20260426000123_000140F.MP4,17,2026-04-26T06:01:42+00:00,A,N,W,40.8414591,-96.7404785,6,1,42,26,4,26
20260426000123_000140F.MP4,18,2026-04-26T06:01:43+00:00,A,N,W,40.8414591,-96.7404622,6,1,43,26,4,26
20260426000123_000140F.MP4,19,2026-04-26T06:01:44+00:00,A,N,W,40.8414591,-96.7404785,6,1,44,26,4,26
20260426000123_000140F.MP4,20,2026-04-26T06:01:45+00:00,A,N,W,40.8414632,-96.7404785,6,1,45,26,4,26
20260426000123_000140F.MP4,21,2026-04-26T06:01:46+00:00,A,N,W,40.8414632,-96.7404622,6,1,46,26,4,26
20260426000123_000140F.MP4,22,2026-04-26T06:01:47+00:00,A,N,W,40.8414591,-96.7404622,6,1,47,26,4,26
20260426000123_000140F.MP4,23,2026-04-26T06:01:48+00:00,A,N,W,40.8414591,-96.7404622,6,1,48,26,4,26
20260426000123_000140F.MP4,24,2026-04-26T06:01:49+00:00,A,N,W,40.8414591,-96.7404622,6,1,49,26,4,26
20260426000123_000140F.MP4,25,2026-04-26T06:01:50+00:00,A,N,W,40.8414591,-96.7404785,6,1,50,26,4,26
20260426000123_000140F.MP4,26,2026-04-26T06:01:51+00:00,A,N,W,40.8414632,-96.7404785,6,1,51,26,4,26
20260426000123_000140F.MP4,27,2026-04-26T06:01:52+00:00,A,N,W,40.8414591,-96.7404785,6,1,52,26,4,26
20260426000123_000140F.MP4,28,2026-04-26T06:01:53+00:00,A,N,W,40.8414591,-96.7404785,6,1,53,26,4,26
20260426000123_000140F.MP4,29,2026-04-26T06:01:54+00:00,A,N,W,40.8414551,-96.7404785,6,1,54,26,4,26
20260426000123_000140F.MP4,30,2026-04-26T06:01:55+00:00,A,N,W,40.8414551,-96.7404785,6,1,55,26,4,26
20260426000123_000140F.MP4,31,2026-04-26T06:01:56+00:00,A,N,W,40.8414551,-96.7404785,6,1,56,26,4,26
20260426000123_000140F.MP4,32,2026-04-26T06:01:57+00:00,A,N,W,40.841451,-96.7404948,6,1,57,26,4,26
20260426000123_000140F.MP4,33,2026-04-26T06:01:58+00:00,A,N,W,40.8414469,-96.7404948,6,1,58,26,4,26
20260426000123_000140F.MP4,34,2026-04-26T06:01:59+00:00,A,N,W,40.8414429,-96.7404948,6,1,59,26,4,26
20260426000123_000140F.MP4,35,2026-04-26T06:02:00+00:00,A,N,W,40.8414429,-96.7404948,6,2,0,26,4,26
20260426000123_000140F.MP4,36,2026-04-26T06:02:01+00:00,A,N,W,40.8414388,-96.7405111,6,2,1,26,4,26
20260426000123_000140F.MP4,37,2026-04-26T06:02:02+00:00,A,N,W,40.8414388,-96.7405111,6,2,2,26,4,26
20260426000123_000140F.MP4,38,2026-04-26T06:02:03+00:00,A,N,W,40.8414347,-96.7405111,6,2,3,26,4,26
20260426000123_000140F.MP4,39,2026-04-26T06:02:04+00:00,A,N,W,40.8414347,-96.7405111,6,2,4,26,4,26
20260426000123_000140F.MP4,40,2026-04-26T06:02:05+00:00,A,N,W,40.8414307,-96.7405111,6,2,5,26,4,26
20260426000123_000140F.MP4,41,2026-04-26T06:02:06+00:00,A,N,W,40.8414266,-96.7405111,6,2,6,26,4,26
20260426000123_000140F.MP4,42,2026-04-26T06:02:07+00:00,A,N,W,40.8414266,-96.7405111,6,2,7,26,4,26
20260426000123_000140F.MP4,43,2026-04-26T06:02:08+00:00,A,N,W,40.8414266,-96.7405111,6,2,8,26,4,26
20260426000123_000140F.MP4,44,2026-04-26T06:02:09+00:00,A,N,W,40.8414266,-96.7405111,6,2,9,26,4,26
20260426000123_000140F.MP4,45,2026-04-26T06:02:10+00:00,A,N,W,40.8414225,-96.7405111,6,2,10,26,4,26
20260426000123_000140F.MP4,46,2026-04-26T06:02:11+00:00,A,N,W,40.8414225,-96.7404948,6,2,11,26,4,26
20260426000123_000140F.MP4,47,2026-04-26T06:02:12+00:00,A,N,W,40.8414225,-96.7404948,6,2,12,26,4,26
20260426000123_000140F.MP4,48,2026-04-26T06:02:13+00:00,A,N,W,40.8414266,-96.7404948,6,2,13,26,4,26
20260426000123_000140F.MP4,49,2026-04-26T06:02:14+00:00,A,N,W,40.8414225,-96.7404948,6,2,14,26,4,26
20260426000123_000140F.MP4,50,2026-04-26T06:02:15+00:00,A,N,W,40.8414225,-96.7404948,6,2,15,26,4,26
20260426000123_000140F.MP4,51,2026-04-26T06:02:16+00:00,A,N,W,40.8414185,-96.7404948,6,2,16,26,4,26
20260426000123_000140F.MP4,52,2026-04-26T06:02:16+00:00,A,N,W,40.8414185,-96.7404948,6,2,16,26,4,26
20260426000123_000140F.MP4,53,2026-04-26T06:02:17+00:00,A,N,W,40.8414225,-96.7404948,6,2,17,26,4,26
20260426000123_000140F.MP4,54,2026-04-26T06:02:18+00:00,A,N,W,40.8414225,-96.7404948,6,2,18,26,4,26
20260426000123_000140F.MP4,55,2026-04-26T06:02:19+00:00,A,N,W,40.8414225,-96.7404785,6,2,19,26,4,26
20260426000123_000140F.MP4,56,2026-04-26T06:02:20+00:00,A,N,W,40.8414225,-96.7404785,6,2,20,26,4,26
20260426000123_000140F.MP4,57,2026-04-26T06:02:21+00:00,A,N,W,40.8414185,-96.7404785,6,2,21,26,4,26
20260426000123_000140F.MP4,58,2026-04-26T06:02:22+00:00,A,N,W,40.8414185,-96.7404785,6,2,22,26,4,26
20260426000123_000140F.MP4,59,2026-04-26T06:02:24+00:00,A,N,W,40.8414185,-96.7404785,6,2,24,26,4,26
20260426000223_000141F.MP4,0,2026-04-26T06:02:24+00:00,A,N,W,40.8414185,-96.7404785,6,2,24,26,4,26
20260426000223_000141F.MP4,1,2026-04-26T06:02:25+00:00,A,N,W,40.8414185,-96.7404785,6,2,25,26,4,26
